Province;Total infected cases;Today infected cases;Deaths;Date
Ben Tre;1,208;0;19;11-Thg8-21
Hai Duong;911;0;0;11-Thg8-21
An Giang;633;0;1;11-Thg8-21
Tra Vinh;573;0;4;11-Thg8-21
Ninh Thuan;515;0;3;11-Thg8-21
Kien Giang;500;12;3;11-Thg8-21
Soc Trang;450;0;4;11-Thg8-21
Nghe An;419;2;1;11-Thg8-21
Binh Dinh;404;10;3;11-Thg8-21
Quang Ngai;400;9;0;11-Thg8-21
Dak Lak;375;0;1;11-Thg8-21
Quang Nam;353;0;4;11-Thg8-21
Hau Giang;326;0;1;11-Thg8-21
Hung Yen;302;0;0;11-Thg8-21
Gia Lai;270;0;0;11-Thg8-21
Binh Phuoc;268;0;0;11-Thg8-21
Ha Tinh;264;7;2;11-Thg8-21
Vinh Phuc;254;0;1;11-Thg8-21
Thua Thien Hue;160;0;0;11-Thg8-21
Dak Nong;159;0;0;11-Thg8-21
Thanh Hoa;148;0;0;11-Thg8-21
Lam Dong;140;0;0;11-Thg8-21
Lang Son;140;1;1;11-Thg8-21
Bac Lieu;117;0;0;11-Thg8-21
Thai Binh;105;0;0;11-Thg8-21
Quang Ninh;104;0;0;11-Thg8-21
Ninh Binh;101;0;0;11-Thg8-21
Ha Nam;74;0;0;11-Thg8-21
Quang Binh;69;0;0;11-Thg8-21
Son La;68;19;0;11-Thg8-21
Dien Bien;61;0;0;11-Thg8-21
Lao Cai;57;0;0;11-Thg8-21
Ca Mau;54;0;1;11-Thg8-21
Hoa Binh;45;0;0;11-Thg8-21
Hai Phong;38;0;0;11-Thg8-21
Quang Tri;36;0;1;11-Thg8-21
Nam Dinh;33;1;0;11-Thg8-21
Ha Giang;24;0;0;11-Thg8-21
Kon Tum;20;0;0;11-Thg8-21
Thai Nguyen;19;0;0;11-Thg8-21
Phu Tho;18;0;0;11-Thg8-21
Yen Bai;7;0;0;11-Thg8-21
Bac Kan;6;0;0;11-Thg8-21
Lai Chau;2;0;0;11-Thg8-21
Tuyen Quang;2;0;0;11-Thg8-21
Ho Chi Minh;132,906;0;3582;12-Thg8-21
Binh Duong;33,737;0;242;12-Thg8-21
Long An;12,255;0;134;12-Thg8-21
Dong Nai;10,266;0;87;12-Thg8-21
Bac Giang;5,823;0;12;12-Thg8-21
Dong Thap;3,825;0;94;12-Thg8-21
Khanh Hoa;3,733;0;27;12-Thg8-21
Tien Giang;3,463;0;98;12-Thg8-21
Tay Ninh;3,272;0;7;12-Thg8-21
Ba Ria - Vung Tau;2,538;0;2;12-Thg8-21
Ha Noi;2,487;0;30;12-Thg8-21
Da Nang;2,234;0;43;12-Thg8-21
Can Tho;2,082;0;42;12-Thg8-21
Phu Yen;1,918;0;0;12-Thg8-21
Bac Ninh;1,759;0;14;12-Thg8-21
Vinh Long;1,446;0;19;12-Thg8-21
Binh Thuan;1,331;0;4;12-Thg8-21
Ben Tre;1,208;0;19;12-Thg8-21
Hai Duong;915;0;0;12-Thg8-21
An Giang;675;0;1;12-Thg8-21
Tra Vinh;573;0;4;12-Thg8-21
Ninh Thuan;534;0;3;12-Thg8-21
Kien Giang;500;0;3;12-Thg8-21
Soc Trang;450;0;4;12-Thg8-21
Nghe An;433;0;1;12-Thg8-21
Quang Ngai;405;0;0;12-Thg8-21
Binh Dinh;404;0;3;12-Thg8-21
Dak Lak;375;0;1;12-Thg8-21
Quang Nam;357;0;4;12-Thg8-21
Hau Giang;326;0;1;12-Thg8-21
Hung Yen;302;0;0;12-Thg8-21
Binh Phuoc;287;0;0;12-Thg8-21
Gia Lai;270;0;0;12-Thg8-21
Ha Tinh;266;0;2;12-Thg8-21
Vinh Phuc;254;0;1;12-Thg8-21
Thanh Hoa;161;0;0;12-Thg8-21
Thua Thien Hue;161;0;0;12-Thg8-21
Dak Nong;159;0;0;12-Thg8-21
Lam Dong;140;0;0;12-Thg8-21
Lang Son;140;0;1;12-Thg8-21
Bac Lieu;119;0;0;12-Thg8-21
Thai Binh;105;0;0;12-Thg8-21
Quang Ninh;104;0;0;12-Thg8-21
Ninh Binh;101;0;0;12-Thg8-21
Ha Nam;74;0;0;12-Thg8-21
Quang Binh;69;0;0;12-Thg8-21
Son La;68;0;0;12-Thg8-21
Dien Bien;61;0;0;12-Thg8-21
Lao Cai;57;0;0;12-Thg8-21
Ca Mau;55;0;1;12-Thg8-21
