"GEOID","state","income","income.moe","age","age.moe"
"12027","Florida",35165,2072,40.1,1
"12029","Florida",36292,3886,46.9,1
"12031","Florida",47690,759,36,0.1
"12033","Florida",45390,686,37.2,0.3
"12035","Florida",47866,1719,49.6,0.3
"12037","Florida",40401,3025,42.1,0.8
"12039","Florida",35567,2295,40.2,0.6
"12041","Florida",40623,2651,42,1
"12043","Florida",34877,3327,45.3,0.5
"12045","Florida",41788,3277,43.3,1.1
"12047","Florida",35048,3762,40.5,0.6
"12049","Florida",35457,2524,34.8,0.6
"12051","Florida",36771,2562,33.8,0.4
"12053","Florida",40945,1067,48.7,0.2
"12055","Florida",35093,1209,52.1,0.2
"12057","Florida",50579,420,36.6,0.1
"12059","Florida",35020,2493,42.1,0.7
"12061","Florida",45798,1567,50.7,0.2
"12063","Florida",35098,2007,41,0.6
"12065","Florida",43355,5203,45.3,0.3
"12067","Florida",35864,8175,36.4,3
"12069","Florida",46403,1069,46.4,0.2
"12071","Florida",48537,713,46.9,0.1
"12073","Florida",46745,1057,30,0.1
"12075","Florida",35782,1566,46.6,0.7
"12077","Florida",39406,3719,37.6,2.6
"12079","Florida",32164,2184,41.5,1
"12081","Florida",49675,862,46.7,0.2
"12083","Florida",39459,657,48.2,0.2
"12085","Florida",51593,1685,50.7,0.2
"12086","Florida",43129,454,39,0.1
"12087","Florida",57290,1946,46.8,0.3
"12089","Florida",54116,2461,44.2,0.3
"12091","Florida",55880,1223,36.8,0.2
"12093","Florida",35405,1546,39.9,0.6
"12095","Florida",47943,622,34.4,0.1
"12097","Florida",44254,1296,35.7,0.1
"12099","Florida",53363,511,44.1,0.2
"12101","Florida",45064,745,44.4,0.1
"12103","Florida",45819,536,47.1,0.1
"12105","Florida",43162,880,40.3,0.2
"12107","Florida",31715,939,44.1,0.3
"12109","Florida",66194,1602,42.7,0.2
"12111","Florida",43459,1449,43.9,0.3
"12113","Florida",58923,2469,39.5,0.3
"12115","Florida",51766,769,54,0.2
"12117","Florida",57010,1158,39.1,0.2
"12119","Florida",50350,2179,65.3,0.1
"12121","Florida",36289,2169,41.6,1.1
"12123","Florida",36181,3352,41.2,0.7
"12125","Florida",39163,2891,40.3,1
"12127","Florida",41117,718,46.3,0.1
"12129","Florida",50340,4378,40,0.5
"12131","Florida",44966,2763,43.6,0.5
"12133","Florida",38970,2275,40.9,0.5
"13001","Georgia",37135,3073,38.6,0.7
"13003","Georgia",30933,2584,34.9,0.8
"13005","Georgia",37162,4097,37.1,0.7
"13007","Georgia",44297,9366,42.6,4.4
"13009","Georgia",32460,2489,34.1,0.5
"13011","Georgia",41472,3202,40.4,0.5
"13013","Georgia",52012,2034,34.8,0.2
"13015","Georgia",48893,2506,37.4,0.4
"13017","Georgia",29994,2807,38.6,0.9
"13019","Georgia",31835,4173,39,1
"13021","Georgia",36519,858,35.6,0.1
"13023","Georgia",38991,5028,37.3,0.7
"13025","Georgia",37206,4662,39,0.9
"13027","Georgia",32663,3410,41.4,0.5
"13029","Georgia",63327,2486,35.1,0.6
"13031","Georgia",36032,1674,26.3,0.4
"13033","Georgia",33641,2365,36,0.6
"13035","Georgia",41667,5920,38.4,1.1
"13037","Georgia",25513,3419,38.2,4.6
"13039","Georgia",52473,2324,31.6,0.3
"13043","Georgia",30185,3111,37.1,1.5
"13045","Georgia",43586,2081,34,0.2
"13047","Georgia",50876,1459,39,0.5
"13049","Georgia",42778,5730,40.7,1
"13051","Georgia",47218,923,34.3,0.1
"13053","Georgia",43378,3089,23.3,0.4
"13055","Georgia",32913,2074,40.3,0.6
"13057","Georgia",68926,2411,37.4,0.2
"13059","Georgia",32162,1188,26.5,0.1
"13061","Georgia",20438,3369,40.3,6.1
"13063","Georgia",40938,934,32.4,0.2
"13065","Georgia",24015,6144,36.1,1.7
"13067","Georgia",65873,1188,36,0.2
"13069","Georgia",33965,2469,35.2,0.3
"13071","Georgia",32409,1672,35.5,0.2
"13073","Georgia",71021,1914,36.6,0.2
"13075","Georgia",35683,3270,36.7,0.6
"13077","Georgia",62461,1834,37.6,0.2
"13079","Georgia",41825,2688,43.5,0.7
"13081","Georgia",31615,3405,38.4,1.5
"13083","Georgia",46434,4152,40.7,1.2
"13085","Georgia",56943,3447,41.5,1.1
"13087","Georgia",31284,2925,37.4,0.8
"13089","Georgia",51376,634,35.1,0.1
"13091","Georgia",34271,2852,40.2,0.7
"13093","Georgia",28696,2826,41.4,1.1
"13095","Georgia",32084,1315,34.2,0.2
"13097","Georgia",53881,2368,35.9,0.2
"13099","Georgia",31680,4146,40.3,1.3
"13101","Georgia",32959,4338,35.4,3
"13103","Georgia",63100,2169,36.1,0.3
"13105","Georgia",35388,3292,41.3,0.8
"13107","Georgia",32229,2779,36.9,0.9
"13109","Georgia",37865,3601,35.3,0.8
"13111","Georgia",37049,2287,50.2,0.4
"13113","Georgia",79066,2497,43.3,0.2
"13115","Georgia",41549,1582,38,0.4
"13117","Georgia",88816,2165,38,0.3
"13119","Georgia",33816,3408,40.9,0.8
"13121","Georgia",57207,835,34.8,0.1
"13123","Georgia",40228,3768,45.1,0.5
"13125","Georgia",40759,6727,40,1
"13127","Georgia",45918,1884,40.5,0.4
"13129","Georgia",41612,1876,37,0.5
"13131","Georgia",34187,2586,39.1,1.6
"13133","Georgia",42408,2167,47.6,0.4
"13135","Georgia",60289,691,34.5,0.1
"13137","Georgia",40907,2152,38.8,0.5
"13139","Georgia",51202,1016,35.6,0.2
"13141","Georgia",24925,2624,43.9,0.5
"13143","Georgia",41910,4156,40.3,1.1
"13145","Georgia",63824,6066,43.1,0.6
"13147","Georgia",37653,3017,43.2,0.5
"13149","Georgia",41525,3868,40.1,1
"13151","Georgia",60424,1382,36.3,0.2
"13153","Georgia",53270,2008,34.8,0.1
"13155","Georgia",34156,5617,39,1.7
"13157","Georgia",53379,2756,38.3,0.5
"13159","Georgia",42368,2443,39.9,1
"13161","Georgia",36385,1879,36.1,0.8
"13163","Georgia",26557,2063,38.4,0.9
"13165","Georgia",24604,4183,40.7,5.1
"13167","Georgia",34438,5003,39.6,0.9
"13169","Georgia",51857,3748,39.4,0.6
"13171","Georgia",40344,2660,38.6,0.7
"13173","Georgia",37605,7316,33.6,1.2
"13175","Georgia",32356,1971,38.5,0.3
"13177","Georgia",61537,3729,36.7,0.5
"13179","Georgia",42201,1401,27.6,0.3
"13181","Georgia",34243,5267,47.2,0.5
"13183","Georgia",48863,4807,31.2,0.8
"13185","Georgia",36834,1205,29.4,0.2
"13187","Georgia",43804,4188,36,0.8
"13189","Georgia",36656,3974,38.2,0.7
"13191","Georgia",42988,4556,47.6,0.9
"13193","Georgia",28684,3453,40.5,0.6
"13195","Georgia",41912,2632,40.2,0.4
"13197","Georgia",36242,2618,41.7,1.5
"13199","Georgia",35832,3364,42.1,0.5
"13201","Georgia",33983,3830,41,1.4
"13205","Georgia",31915,2571,37.6,0.6
"13207","Georgia",48744,3540,41.9,0.6
"13209","Georgia",34672,2095,38,1
"13211","Georgia",51820,4371,43.2,0.6
"13213","Georgia",35539,2859,37.2,0.7
"13215","Georgia",42306,1071,33.5,0.2
"13217","Georgia",49179,1840,35.8,0.4
"13219","Georgia",72182,4982,39.7,0.5
"13221","Georgia",44226,3798,42.4,1.1
"13223","Georgia",60109,1783,35.1,0.1
"13225","Georgia",41588,2893,34.7,0.4
"13227","Georgia",54123,4466,44.7,0.3
"13229","Georgia",40247,4379,39,1
"13231","Georgia",51338,3370,38.9,0.8
"13233","Georgia",37853,2768,37.2,0.9
"13235","Georgia",38750,6998,41.3,2.6
"13237","Georgia",44299,3123,45.6,1.2
"13239","Georgia",31487,5002,49.2,6.1
"13241","Georgia",35211,3631,47.8,0.7
"13243","Georgia",28377,5926,39.2,4.4
"13245","Georgia",37424,1318,33.3,0.2
"13247","Georgia",50455,1946,37.5,0.3
"13249","Georgia",39375,3458,38.4,3.5
"13251","Georgia",34466,2114,40,0.7
"13253","Georgia",34905,3103,45.1,0.6
"13255","Georgia",40246,2344,38.2,0.6
"13257","Georgia",40315,2971,41.2,0.6
"13259","Georgia",21118,2214,38,1.3
"13261","Georgia",32758,2525,34.6,0.3
"13263","Georgia",34078,3045,47.5,0.3
"13265","Georgia",26306,2695,47.9,4.1
"13267","Georgia",33980,4566,36.2,0.5
"13269","Georgia",28143,4305,42.6,0.9
"13271","Georgia",26449,2086,40.3,0.8
"13273","Georgia",28688,4364,41,1.6
"13275","Georgia",36641,1929,39.4,0.7
"13277","Georgia",37653,2622,35.1,0.2
"13279","Georgia",33679,4663,34.9,0.9
"13281","Georgia",37000,2684,52.4,0.7
"13283","Georgia",38596,4213,42.8,3.1
"13285","Georgia",41489,1789,36.1,0.4
"13287","Georgia",31806,4370,38,1.3
"13289","Georgia",30468,3565,45.6,0.4
"13291","Georgia",40799,3727,53.3,0.7
"13293","Georgia",35774,2147,41.5,0.9
"13295","Georgia",41632,2006,40.4,0.5
"13297","Georgia",54453,2150,38.5,0.5
"13299","Georgia",34909,2982,37.9,0.6
"13301","Georgia",29176,4527,44.3,1.1
"13303","Georgia",37932,5113,40,0.7
"13305","Georgia",38955,3192,37.3,0.7
"13307","Georgia",37063,6031,41,5.5
"13309","Georgia",27620,5034,38.4,2
"13311","Georgia",40888,2526,43.9,0.6
"13313","Georgia",40596,1434,34.8,0.1
"13315","Georgia",32043,3112,39.4,0.7
"13317","Georgia",32727,2523,44.4,0.6
"13319","Georgia",38485,3304,41.6,0.6
"13321","Georgia",37974,4812,40.4,0.9
"15001","Hawaii",52108,1215,41.1,0.3
"15003","Hawaii",74460,773,36.9,0.1
"15005","Hawaii",66250,9909,51.9,8.7
"15007","Hawaii",65101,2955,41.6,0.4
"15009","Hawaii",66476,2202,40,0.3
"16001","Idaho",56356,1082,35.8,0.2
"16003","Idaho",39565,3928,51.3,0.5
"16005","Idaho",43779,1584,32.7,0.3
"16007","Idaho",48654,4245,39.5,0.9
"16009","Idaho",39863,3459,45.4,0.2
"16011","Idaho",50155,2345,32.9,0.4
"16013","Idaho",60088,7095,43,0.7
"16015","Idaho",44238,6671,52,0.8
"16017","Idaho",42171,2148,47.2,0.4
"16019","Idaho",50762,1206,32.4,0.2
"16021","Idaho",38961,4319,43.7,0.8
"16023","Idaho",37891,6713,40.9,4.4
"16025","Idaho",42614,7321,42.1,11.2
"16027","Idaho",42888,1106,32.8,0.2
"16029","Idaho",58021,4166,36.8,0.4
"16031","Idaho",45695,2061,31.7,0.3
"16033","Idaho",33672,4785,32.7,3.3
"16035","Idaho",38837,2225,50.2,0.3
"16037","Idaho",39457,3030,52,3.2
"16039","Idaho",43848,2110,30.8,0.4
"16041","Idaho",48133,5163,32.4,0.6
"16043","Idaho",47988,4031,36.3,0.5
"16045","Idaho",40828,3414,44.7,1.2
"16047","Idaho",39930,3884,36.3,0.8
"16049","Idaho",38191,2196,48.9,0.5
"16051","Idaho",51171,2160,31.1,0.6
"16053","Idaho",41630,2618,32.1,0.4
"16055","Idaho",49403,1537,39.4,0.4
"16057","Idaho",42439,2751,28.5,0.4
"16059","Idaho",34329,3194,51.2,0.6
"16061","Idaho",36505,2374,48.2,0.7
"16063","Idaho",43273,2766,33.8,0.7
"16065","Idaho",32233,1885,23.2,0.2
"16067","Idaho",44853,2089,35.5,0.3
"16069","Idaho",48160,2178,41.6,0.6
"16071","Idaho",41338,2699,39,2.1
"16073","Idaho",33440,2692,37.5,0.4
"16075","Idaho",44257,2348,38.5,1.5
"16077","Idaho",44779,3316,34.2,1
"16079","Idaho",37665,2716,47.1,0.4
"16081","Idaho",53474,5555,35.2,0.4
"16083","Idaho",44048,2081,34.5,0.2
"16085","Idaho",48384,7162,49.4,0.4
"16087","Idaho",34775,3150,44.9,0.9
"17001","Illinois",45965,1350,40.6,0.4
"17003","Illinois",27265,3011,39.7,1
"17005","Illinois",47946,3835,40.1,1.2
"17007","Illinois",58248,4054,38.2,0.5
"17009","Illinois",50739,4955,37.7,0.7
"17011","Illinois",50423,1480,43.4,0.2
"17013","Illinois",53869,5535,46.9,0.7
"17015","Illinois",48631,3558,47.5,0.6
"17017","Illinois",47434,3013,39.2,1.6
"17019","Illinois",46495,1077,29.3,0.1
"17021","Illinois",45334,2860,42,0.5
"17023","Illinois",50517,2304,43.4,0.6
"17025","Illinois",44209,2123,42.8,0.5
"17027","Illinois",63236,2172,40.1,0.5
"17029","Illinois",39588,2470,33.3,0.4
"17031","Illinois",55251,327,35.9,0.1
"17033","Illinois",47468,2993,42.4,0.5
"17035","Illinois",46061,3690,41.6,0.8
"17037","Illinois",54101,2012,30.3,0.1
"17039","Illinois",53959,2647,42.8,0.7
"17041","Illinois",51810,2087,38.3,0.5
"17043","Illinois",79658,899,38.8,0.1
"17045","Illinois",45691,2266,43.4,0.8
"17047","Illinois",44497,2264,43.7,0.7
"17049","Illinois",52224,2392,38.9,0.5
"17051","Illinois",43944,2186,40.1,0.6
"17053","Illinois",49947,2078,42.7,1
